StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat,End Row
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,1,W,"P1, (p1, k3) 4 times, p1",p1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,2,R,"K1, yo, k1, p2 tog, p1, (k1, p3) twice, k1, p1, p2 tog, k1, yo",k1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,3,W,"P3, k2, (p1, k3) twice, p1, k2, p2",p1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,4,R,"K2, yo, k1, p2, (k1, p1, p2 tog) twice, k1, p2, k1, yo, k1",k1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,5,W,"P3, (p1, k2) 4 times, p3",p1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,6,R,"K3, yo, k1, p2 tog, (k1, p2)  twice, k1, p2 tog, k1, yo, k2",k1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,7,W,"P5, k1, (p1, k2) twice, p1, k1, p4",p1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,8,R,"K4, yo, k1, p1, (k1, p2 tog) twice, k1, p1, k1, yo, k3",k1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,9,W,"P5, (p1, k1) 4 times, p5",p1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,10,R,"K5, yo, ssk, (k1, p1) twice, k1, k2 tog, yo, k4",k1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,11,W,"P8, k1, p1, k1, p7",p1
713,Umbrella,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=713,12,R,"K8, p1, k1, p1, k7",k1
