StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat,End Row
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,1,R,"P2, yo, k1, yo, p2, k2, k2 tog, k3",end p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,2,W,"K2, p6, k2, p3",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,3,R,"P2, k1, (yo, k1) twice, p2, k2, k2 tog, k2",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,4,W,"(k2, p5) twice",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,5,R,"P2, k2, yo, k1, yo, k2, p2, k2, k2 tog, k1",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,6,W,"K2, p4, k2, p7",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,7,R,"P2, k3, yo, k1, yo, k3, p2, k2, k2 tog",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,8,W,"K2, p3, k2, p9",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,9,R,"P2, k2, k2 tog, k5, p2, k1, k2 tog",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,10,W,"K2, p2, k2, p8",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,11,R,"P2, k2, k2 tog, k4, p2, k2 tog",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,12,W,"K2, p1, k2, p7",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,13,R,"P2, k2, k2 tog, k3, p2, yo, k1, yo",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,14,W,"K2, p3, k2, p6",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,15,R,"P2, k2, k2 tog, k2, p2, (k1, yo) twice, k1",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,16,W,"(k2, p5) twice",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,17,R,"P2, k2, k2 tog, k1, p2, k2, yo, k1, yo, k2",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,18,W,"K2, p7, k2, p4",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,19,R,"P2, k2, k2 tog, p2, k3, yo, k1, yo, k3",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,20,W,"K2, p9, k2, p3",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,21,R,"P2, k1, k2 tog, p2, k2, k2 tog, k5",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,22,W,"K2, p8, k2, p2",k2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,23,R,"P2, k2 tog, p2, k2, k2 tog, k4",p2
709,Candle Flames 1,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=709,24,W,"K2, p7, k2, p1",k2
