StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,1,R,p2*,"k2, p2",*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,3,R,p2*,"k2, p2",*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,5,R,p2*,"k2, p2, CO, p2",*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,7,R,p2*,"k2, p2",*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,9,R,p2*,"k2, p2",*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,11,R,p2*,"CO, p2, k2, p2",*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,13,R,p2*,"k2, p2",*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,15,R,p2*,"k2, p2",*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,17,R,"p2 (k2, p2) twice*","CO, p2, k2, p2",*,"k2, p2"
1112,Wandering Rib,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1112,18,W,*,Knit the knit stitches and purl the purl stitches,*,
