StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,1,R,A,*,knit,*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,2,W,A,*,purl,*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,3,R,A,*,knit,*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,4,W,A,*,purl,*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,5,R,B,k1*,"sl 1 wyib, k1",*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,6,W,B,k1*,"sl 1 wyif, k1",*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,7,R,A,*,knit,*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,8,W,A,*,purl,*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,9,R,A,*,knit,*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,10,W,A,*,purl,*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,11,R,B,sl 1 wyib*,"k1, sl 1 wyib",*
1511,Little Seed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1511,12,W,B,sl 1 wyif*,"k1, sl 1 wyif",*
