StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,1,R,A,k2*,"sl 1 wyif, k1",*
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,2,W,A,*,purl,*
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,3,R,B,k2*,"sl 1 wyif, k1",*
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,4,W,B,*,purl,*
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,5,R,C,k2*,"sl 1 wyif, k1",*
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,6,W,C,*,purl,*
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,7,R,D,k2*,"sl 1 wyif, k1",*
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,8,W,D,*,purl,*
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,9,R,E,k2*,"sl 1 wyif, k1",*
1533,Joyous Stripes,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1533,10,W,E,*,purl,*
