StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,1,W,"k2, p10, k2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,2,R,"p2, k3, RT, LT, k3, p2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,3,W,"k2, p10, k2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,4,R,"p2, k2, RT, k2, LT, k2, p2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,5,W,"k2, p10, k2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,6,R,"p2, k1, RT, k4, LT, k1, p2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,7,W,"k2, p10, k2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,8,R,"p2, RT, k6, LT, p2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,9,W,"k2, p10, k2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,10,R,"p2, k3, RT, LT, k3, p2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,11,W,"k2, p10, k2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,12,R,"p2, LT, RT, k2, LT, RT, p2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,13,W,"k2, p10, k2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,14,R,"p2, k1, M1, k2-tog-b, k4, k2-tog, M1, k1, p2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,15,W,"k2, p10, k2"
1650,Heart Panel,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1650,16,R,"p2, k10, p2"
