StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,1,R,A,*,knit,*,
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,2,W,A,*,purl,*,
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,3,R,B,k3*,"sl 1 wyib, k3",*,
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,4,W,B,p3*,"sl 1 wyif, p3",*,
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,5,R,C,k1*,"sl 1 wyib, k3",*,"sl 1, k1"
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,6,W,C,k1*,"sl 1 wyif, k3",*,"sl 1, k1"
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,7,R,B,k3*,"sl 1 wyib, k3",*,
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,8,W,B,p3*,"sl 1 wyif, p3",*,
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,9,R,A,k1*,"sl 1 wyib, k3",*,"s1,k1"
68,Black Forest,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=68,10,W,A,p1*,"sl 1 wyif, p3",*,"sl 1, p1"
