StitchID,StitchName,MultipleOf,StitchesPlus,RowNum,Side,BeginRow,Repeat,RepeatFrom,EndRow,SourceURL,Status
1,Sailor's Rib,Multiple of 5 stitches,plus 1 additional stitch,1,R,k1-b*,"p1, k2, p1, k1-b",*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1,ok
1,Sailor's Rib,Multiple of 5 stitches,plus 1 additional stitch,2,W,p1*,"k1, p2, k1, p1",*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1,ok
1,Sailor's Rib,Multiple of 5 stitches,plus 1 additional stitch,3,R,k1-b*,"p4, k1-b",*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1,ok
1,Sailor's Rib,Multiple of 5 stitches,plus 1 additional stitch,4,W,p1*,"k4, p1",*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1,ok
2,Twin Rib,Multiple of 6 stitches,,1,R,,"k3, p3",,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=2,ok
2,Twin Rib,Multiple of 6 stitches,,2,W,,"k1, p1",,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=2,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,1,R,*,"p3, k3",*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,2,W,*,Knit the knit stitches and purl the purl stitches,*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,3,R,p2*,"k3, p3",*,"k3, p1",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,4,W,*,Knit the knit stitches and purl the purl stitches,*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,5,R,p1*,"k3, p3",*,"k3, p2",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,6,W,*,Knit the knit stitches and purl the purl stitches,*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,7,R,*,"k3, p3",*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,8,W,*,Knit the knit stitches and purl the purl stitches,*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,9,R,k2*,"p3, k3",*,"p3, k1",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,10,W,*,Knit the knit stitches and purl the purl stitches,*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,11,R,k1*,"p3, k3",*,"p3, k2",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
3,Steep Diagonal Rib,Multiple of 6 stitches,,12,W,*,Knit the knit stitches and purl the purl stitches,*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=3,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,1,R,p1*,"k7, p1",*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,2,W,p1*,"k7, p1",*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,3,R,p1*,"k7, p1",*,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,4,W,k2*,"p5, k3",*,"p5, k2",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,5,R,p3*,"k3, p5",*,"k3, p3",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,6,W,k4*,"p1, k7",*,"p1, k4",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,7,R,k4*,"p1, k7",*,"p1, k4",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,8,W,k4*,"p1, k7",*,"p1, k4",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,9,R,p3*,"k3, p5",*,"k3, p3",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
4,Fluted Rib,Multiple of 8 stitches,plus 1 additional stitch,10,W,k2*,"p5, k3",*,"p5, k2",https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=4,ok
